Year,RawBiteNumber,BiteBeach,Mesh,Period
2000/01,0,0,Yes,2000-2005
2001/02,0,0,Yes,2000-2005
2002/03,0,0,Yes,2000-2005
2003/04,0,0,Yes,2000-2005
2004/05,2,0.039215686,Yes,2000-2005
2005/06,1,0.019607843,Yes,2005-2010
2006/07,0,0,Yes,2005-2010
2007/08,0,0,Yes,2005-2010
2008/09,2,0.039215686,Yes,2005-2010
2009/10,0,0,Yes,2005-2010
2010/11,0,0,Yes,2010-2015
2011/12,2,0.039215686,Yes,2010-2015
2012/13,1,0.019607843,Yes,2010-2015
2013/14,0,0,Yes,2010-2015
2014/15,0,0,Yes,2010-2015
2015/16,2,0.039215686,Yes,2015-2020
2016/17,0,0,Yes,2015-2020
2017/18,1,0.019607843,Yes,2015-2020
2018/19,0,0,Yes,2015-2020
2019/20,0,0,Yes,2015-2020
2020/21,1,0.019607843,Yes,2020-2022
2021/22,1,0.019607843,Yes,2020-2022
2000/01,0,0,No,2000-2005
2001/02,0,0,No,2000-2005
2002/03,0,0,No,2000-2005
2003/04,0,0,No,2000-2005
2004/05,1,0.012820513,No,2000-2005
2005/06,0,0,No,2005-2010
2006/07,0,0,No,2005-2010
2007/08,0,0,No,2005-2010
2008/09,0,0,No,2005-2010
2009/10,0,0,No,2005-2010
2010/11,0,0,No,2010-2015
2011/12,1,0.012820513,No,2010-2015
2012/13,0,0,No,2010-2015
2013/14,0,0,No,2010-2015
2014/15,0,0,No,2010-2015
2015/16,1,0.012820513,No,2015-2020
2016/17,0,0,No,2015-2020
2017/18,1,0.012820513,No,2015-2020
2018/19,0,0,No,2015-2020
2019/20,1,0.012820513,No,2015-2020
2020/21,1,0.012820513,No,2020-2022
2021/22,1,0.012820513,No,2020-2022
