date,bites,sms,region,period
201011,1,no,farnorth,pre
201112,2,no,farnorth,pre
201213,0,no,farnorth,pre
201314,1,no,farnorth,pre
201415,1,no,farnorth,pre
201516,1,no,farnorth,pre
201617,1,no,farnorth,post
201718,1,no,farnorth,post
201819,2,no,farnorth,post
201920,3,no,farnorth,post
202021,1,no,farnorth,post
202122,1,no,farnorth,post
201011,2,no,midnorth,pre
201112,0,no,midnorth,pre
201213,1,no,midnorth,pre
201314,0,no,midnorth,pre
201415,1,no,midnorth,pre
201516,0,no,midnorth,pre
201617,2,no,midnorth,post
201718,0,no,midnorth,post
201819,0,no,midnorth,post
201920,1,no,midnorth,post
202021,2,no,midnorth,post
202122,0,no,midnorth,post
201011,0,no,metro,pre
201112,1,no,metro,pre
201213,0,no,metro,pre
201314,0,no,metro,pre
201415,0,no,metro,pre
201516,2,no,metro,pre
201617,0,no,metro,post
201718,1,no,metro,post
201819,0,no,metro,post
201920,2,no,metro,post
202021,0,no,metro,post
202122,1,no,metro,post
201011,0,no,south,pre
201112,0,no,south,pre
201213,1,no,south,pre
201314,0,no,south,pre
201415,1,no,south,pre
201516,0,no,south,pre
201617,0,no,south,post
201718,1,no,south,post
201819,0,no,south,post
201920,1,no,south,post
202021,0,no,south,post
202122,1,no,south,post
201011,0,yes,farnorth,pre
201112,0,yes,farnorth,pre
201213,0,yes,farnorth,pre
201314,0,yes,farnorth,pre
201415,3,yes,farnorth,pre
201516,4,yes,farnorth,pre
201617,2,yes,farnorth,post
201718,1,yes,farnorth,post
201819,2,yes,farnorth,post
201920,0,yes,farnorth,post
202021,1,yes,farnorth,post
202122,0,yes,farnorth,post
201011,1,yes,midnorth,pre
201112,1,yes,midnorth,pre
201213,0,yes,midnorth,pre
201314,0,yes,midnorth,pre
201415,0,yes,midnorth,pre
201516,2,yes,midnorth,pre
201617,0,yes,midnorth,post
201718,0,yes,midnorth,post
201819,0,yes,midnorth,post
201920,0,yes,midnorth,post
202021,0,yes,midnorth,post
202122,1,yes,midnorth,post
201011,0,yes,metro,pre
201112,1,yes,metro,pre
201213,1,yes,metro,pre
201314,0,yes,metro,pre
201415,0,yes,metro,pre
201516,0,yes,metro,pre
201617,0,yes,metro,post
201718,0,yes,metro,post
201819,0,yes,metro,post
201920,0,yes,metro,post
202021,0,yes,metro,post
202122,1,yes,metro,post
201011,0,yes,south,pre
201112,0,yes,south,pre
201213,0,yes,south,pre
201314,1,yes,south,pre
201415,0,yes,south,pre
201516,1,yes,south,pre
201617,0,yes,south,post
201718,0,yes,south,post
201819,0,yes,south,post
201920,2,yes,south,post
202021,1,yes,south,post
202122,0,yes,south,post
